Label,Value,Year
Legacy Rape Reported,65,2008
Legacy Rape Reported,65,2008
Legacy Rape Cleared,10,2008
Legacy Rape Reported,61,2009
Legacy Rape Reported,61,2009
Legacy Rape Cleared,9,2009
Legacy Rape Reported,70,2010
Legacy Rape Reported,70,2010
Legacy Rape Cleared,11,2010
Legacy Rape Reported,58,2011
Legacy Rape Reported,58,2011
Legacy Rape Cleared,13,2011
Legacy Rape Reported,60,2012
Legacy Rape Reported,60,2012
Legacy Rape Cleared,12,2012
Revised Rape Reported,80,2013
Revised Rape Cleared,25,2013
Revised Rape Reported,82,2014
Revised Rape Cleared,19,2014
Revised Rape Reported,65,2015
Revised Rape Cleared,14,2015
Revised Rape Reported,70,2016
Revised Rape Cleared,9,2016
Revised Rape Reported,53,2017
Revised Rape Cleared,17,2017
Revised Rape Reported,64,2018
Revised Rape Cleared,13,2018
